Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Group,Merged_Group
2006.0,Gary Payton*,PG,37.0,MIA,81.0,25.0,2305.0,10.7,0.52,0.42,0.23,1.8,9.7,5.9,16.7,1.6,0.3,14.5,14.1,1.8,2.3,4.1,0.085,-0.3,0.1,-0.2,1.0,230.0,547.0,0.42,66.0,230.0,0.287,164.0,317.0,0.517,0.481,100.0,126.0,0.794,34.0,199.0,233.0,257.0,71.0,10.0,102.0,169.0,626.0,7,0
2006.0,Kendrick Perkins,C,21.0,BOS,68.0,40.0,1332.0,13.2,0.5479999999999999,0.008,0.489,13.1,23.6,18.5,8.1,0.8,6.0,24.9,14.8,0.3,2.0,2.3,0.08199999999999999,-3.0,3.1,0.0,0.7,137.0,266.0,0.515,0.0,2.0,0.0,137.0,264.0,0.519,0.515,80.0,130.0,0.615,140.0,264.0,404.0,69.0,21.0,105.0,107.0,199.0,354.0,14,7
2006.0,Morris Peterson,SG,28.0,TOR,82.0,77.0,3140.0,15.3,0.561,0.409,0.268,2.4,12.8,7.4,10.0,1.7,0.4,9.3,19.9,5.2,0.6,5.9,0.09,2.4,-1.4,1.0,2.4,478.0,1096.0,0.436,177.0,448.0,0.395,301.0,648.0,0.465,0.517,241.0,294.0,0.82,65.0,316.0,381.0,190.0,104.0,15.0,126.0,223.0,1374.0,3,2
2006.0,Johan Petro,C,20.0,SEA,68.0,41.0,1282.0,10.4,0.53,0.0,0.25,10.1,17.9,13.9,1.8,1.0,3.1,15.3,13.7,0.7,0.2,1.0,0.037000000000000005,-2.6,-1.4,-4.0,-0.7,153.0,300.0,0.51,0.0,0.0,0.0,153.0,300.0,0.51,0.51,47.0,75.0,0.627,109.0,187.0,296.0,15.0,25.0,51.0,60.0,213.0,353.0,20,0
2006.0,Eric Piatkowski,SG,35.0,CHI,29.0,1.0,228.0,6.2,0.467,0.541,0.08199999999999999,2.0,9.5,5.8,8.8,1.4,0.3,14.8,14.7,-0.2,0.2,0.1,0.018000000000000002,-3.5,-0.4,-3.9,-0.1,24.0,61.0,0.393,9.0,33.0,0.273,15.0,28.0,0.536,0.467,2.0,5.0,0.4,4.0,19.0,23.0,13.0,6.0,1.0,11.0,20.0,59.0,1,4
2006.0,Paul Pierce,SF,28.0,BOS,79.0,79.0,3084.0,23.6,0.5820000000000001,0.215,0.555,3.1,17.5,10.5,23.4,1.8,0.8,13.0,31.2,8.3,3.2,11.5,0.17800000000000002,4.7,-0.3,4.3,4.9,689.0,1462.0,0.471,111.0,314.0,0.354,578.0,1148.0,0.503,0.509,627.0,812.0,0.772,77.0,453.0,530.0,375.0,107.0,34.0,273.0,223.0,2116.0,3,2
2006.0,Mickael Pietrus,SF,23.0,GSW,52.0,18.0,1179.0,10.0,0.5,0.421,0.342,5.4,10.2,7.7,6.2,1.4,0.6,14.0,21.1,-0.3,0.9,0.6,0.024,-1.9,-1.5,-3.4,-0.4,169.0,418.0,0.404,56.0,176.0,0.318,113.0,242.0,0.467,0.471,87.0,143.0,0.608,58.0,105.0,163.0,44.0,33.0,10.0,78.0,132.0,481.0,51,0
2006.0,Zoran Planinic,PG,23.0,NJN,56.0,1.0,596.0,6.9,0.45,0.306,0.361,2.7,12.0,7.3,15.0,1.8,0.5,16.9,20.2,-0.8,0.8,0.1,0.005,-5.0,-0.4,-5.5,-0.5,66.0,183.0,0.361,13.0,56.0,0.232,53.0,127.0,0.417,0.396,46.0,66.0,0.6970000000000001,14.0,60.0,74.0,53.0,20.0,4.0,43.0,91.0,191.0,1,4
2006.0,Scot Pollard,C,30.0,IND,45.0,32.0,771.0,12.3,0.495,0.0,0.247,11.3,21.0,16.3,5.1,2.6,1.9,13.2,11.9,0.6,1.6,2.1,0.134,-2.5,3.3,0.8,0.5,70.0,154.0,0.455,0.0,0.0,0.0,70.0,154.0,0.455,0.455,29.0,38.0,0.763,73.0,145.0,218.0,24.0,37.0,20.0,26.0,115.0,169.0,1,4
2006.0,James Posey,SF,29.0,MIA,67.0,63.0,1914.0,9.8,0.5720000000000001,0.7340000000000001,0.154,2.1,16.9,9.8,6.8,1.5,0.8,12.1,11.6,1.8,2.4,4.2,0.104,0.3,1.0,1.4,1.6,159.0,395.0,0.403,117.0,290.0,0.403,42.0,105.0,0.4,0.551,48.0,61.0,0.787,33.0,286.0,319.0,89.0,54.0,20.0,58.0,196.0,483.0,4,5
