Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Group,Merged_Group
2001.0,Stephen Jackson,SF,22.0,NJN,77.0,40.0,1660.0,12.1,0.503,0.271,0.236,2.8,11.9,7.2,15.1,2.7,0.6,17.1,20.8,-0.4,1.3,0.9,0.026,-1.5,-0.7,-2.1,-0.1,243.0,572.0,0.425,52.0,155.0,0.335,191.0,417.0,0.458,0.47,97.0,135.0,0.7190000000000001,41.0,167.0,208.0,140.0,86.0,14.0,130.0,166.0,635.0,36,0
2001.0,Tim James,SF,24.0,CHH,30.0,0.0,197.0,5.8,0.387,0.058,0.269,8.7,11.5,10.1,6.5,0.5,1.9,12.1,15.5,-0.1,0.2,0.1,0.022,-5.8,-1.0,-6.8,-0.2,16.0,52.0,0.308,1.0,3.0,0.333,15.0,49.0,0.306,0.317,12.0,14.0,0.857,15.0,20.0,35.0,8.0,2.0,5.0,8.0,27.0,45.0,0,1
2001.0,Antawn Jamison,SF,24.0,GSW,82.0,82.0,3394.0,19.0,0.499,0.113,0.295,8.1,14.8,11.2,9.5,1.7,0.6,8.9,27.9,5.4,1.3,6.7,0.094,2.1,-2.1,0.0,1.7,800.0,1812.0,0.442,62.0,205.0,0.302,738.0,1607.0,0.459,0.459,382.0,534.0,0.715,280.0,435.0,715.0,164.0,114.0,28.0,199.0,225.0,2044.0,1,3
2001.0,Anthony Johnson,PG,26.0,TOT,53.0,0.0,511.0,8.1,0.39,0.033,0.217,2.2,7.6,4.9,24.5,2.4,0.8,17.0,17.6,-0.5,0.3,-0.2,-0.019,-4.4,-1.3,-5.7,-0.5,53.0,152.0,0.349,1.0,5.0,0.2,52.0,147.0,0.354,0.35200000000000004,23.0,33.0,0.6970000000000001,10.0,34.0,44.0,78.0,23.0,6.0,34.0,62.0,130.0,0,1
2001.0,Avery Johnson,PG,35.0,SAS,55.0,20.0,1290.0,11.5,0.475,0.02,0.2,1.9,5.3,3.7,29.5,1.4,0.2,15.5,14.1,1.3,1.3,2.6,0.098,-1.4,-1.3,-2.6,-0.2,134.0,300.0,0.447,1.0,6.0,0.16699999999999998,133.0,294.0,0.452,0.448,41.0,60.0,0.6829999999999999,21.0,64.0,85.0,237.0,33.0,4.0,60.0,90.0,310.0,0,1
2001.0,DerMarr Johnson,SF,20.0,ATL,78.0,21.0,1313.0,8.4,0.463,0.326,0.223,4.7,10.4,7.6,7.9,1.7,1.6,17.8,17.7,-0.9,0.9,0.0,0.0,-3.0,-0.3,-3.3,-0.4,146.0,390.0,0.374,41.0,127.0,0.32299999999999995,105.0,263.0,0.399,0.4270000000000001,64.0,87.0,0.736,56.0,122.0,178.0,64.0,43.0,30.0,93.0,134.0,397.0,0,1
2001.0,Ervin Johnson,C,33.0,MIL,82.0,19.0,1981.0,11.2,0.557,0.0,0.47,11.8,23.2,17.5,2.8,1.2,3.6,16.4,6.5,2.6,2.5,5.1,0.123,-1.5,2.1,0.6,1.3,108.0,198.0,0.545,0.0,0.0,0.0,108.0,198.0,0.545,0.545,50.0,93.0,0.5379999999999999,205.0,408.0,613.0,40.0,44.0,97.0,47.0,257.0,266.0,8,7
2001.0,Larry Johnson,PF,31.0,NYK,65.0,65.0,2105.0,11.2,0.493,0.273,0.214,5.3,15.2,10.4,10.5,1.0,1.1,12.9,17.4,1.0,3.1,4.1,0.093,-0.7,1.5,0.7,1.4,246.0,598.0,0.411,51.0,163.0,0.313,195.0,435.0,0.448,0.454,102.0,128.0,0.797,90.0,273.0,363.0,127.0,39.0,29.0,97.0,209.0,645.0,1,3
2001.0,Damon Jones,PG,24.0,VAN,71.0,10.0,1415.0,13.0,0.525,0.555,0.125,1.3,8.7,5.0,26.2,1.3,0.0,14.8,16.6,1.4,0.4,1.8,0.062,0.5,-2.8,-2.3,-0.1,170.0,416.0,0.409,84.0,231.0,0.364,86.0,185.0,0.465,0.51,37.0,52.0,0.7120000000000001,16.0,108.0,124.0,224.0,36.0,1.0,76.0,58.0,461.0,4,4
2001.0,Eddie Jones,SG,29.0,MIA,63.0,58.0,2282.0,18.8,0.5529999999999999,0.273,0.31,3.9,11.3,7.6,14.8,2.7,2.0,12.0,23.9,3.9,4.0,7.9,0.166,2.4,1.9,4.3,3.6,388.0,871.0,0.445,90.0,238.0,0.378,298.0,633.0,0.471,0.4970000000000001,228.0,270.0,0.8440000000000001,75.0,217.0,292.0,171.0,110.0,58.0,135.0,183.0,1094.0,1,3
2001.0,Jumaine Jones,SF,21.0,PHI,65.0,0.0,866.0,14.2,0.51,0.218,0.193,8.4,16.1,12.3,6.3,1.8,1.3,11.6,17.6,0.9,1.4,2.3,0.125,-0.9,0.3,-0.6,0.3,122.0,275.0,0.444,20.0,60.0,0.333,102.0,215.0,0.474,0.48,40.0,53.0,0.755,63.0,126.0,189.0,32.0,30.0,15.0,39.0,68.0,304.0,37,0
2001.0,Popeye Jones,PF,30.0,WAS,45.0,1.0,638.0,13.1,0.457,0.039,0.359,14.9,25.6,20.2,7.8,1.5,0.9,10.6,13.8,0.8,0.5,1.2,0.094,-1.2,-0.4,-1.6,0.1,60.0,153.0,0.392,1.0,6.0,0.16699999999999998,59.0,147.0,0.401,0.395,41.0,55.0,0.745,83.0,137.0,220.0,31.0,19.0,8.0,21.0,95.0,162.0,0,1
2001.0,Adam Keefe,PF,30.0,GSW,67.0,13.0,836.0,9.7,0.45,0.019,0.396,10.5,16.4,13.3,6.5,1.7,1.7,17.6,11.5,0.1,0.5,0.6,0.032,-3.9,0.2,-3.7,-0.3,64.0,159.0,0.403,1.0,3.0,0.333,63.0,156.0,0.404,0.406,39.0,63.0,0.619,90.0,119.0,209.0,36.0,28.0,20.0,40.0,102.0,168.0,0,1
2001.0,Shawn Kemp,PF,31.0,POR,68.0,3.0,1083.0,11.4,0.469,0.027000000000000003,0.317,7.2,20.9,14.3,9.9,2.2,1.6,17.4,24.5,-0.8,1.7,0.9,0.041,-4.5,0.1,-4.4,-0.7,168.0,413.0,0.407,4.0,11.0,0.364,164.0,402.0,0.408,0.412,101.0,131.0,0.7709999999999999,63.0,196.0,259.0,65.0,45.0,23.0,99.0,184.0,441.0,38,0
2001.0,Steve Kerr,PG,35.0,SAS,55.0,1.0,650.0,10.6,0.546,0.484,0.094,1.1,4.8,3.0,14.1,1.3,0.1,11.3,13.5,0.8,0.6,1.5,0.108,0.0,-1.5,-1.5,0.1,67.0,159.0,0.421,33.0,77.0,0.429,34.0,82.0,0.415,0.525,14.0,15.0,0.933,6.0,29.0,35.0,57.0,16.0,1.0,21.0,30.0,181.0,4,4
2001.0,Jerome Kersey,SF,38.0,MIL,22.0,2.0,243.0,12.9,0.473,0.014,0.232,3.8,17.1,10.5,9.4,3.0,2.4,7.3,15.3,0.2,0.3,0.5,0.101,-2.6,1.4,-1.2,0.1,32.0,69.0,0.464,0.0,1.0,0.0,32.0,68.0,0.471,0.464,8.0,16.0,0.5,8.0,37.0,45.0,15.0,14.0,8.0,6.0,36.0,72.0,0,1
2001.0,Jason Kidd,PG,27.0,PHO,77.0,76.0,3065.0,19.4,0.51,0.211,0.3670000000000001,3.3,15.2,9.1,41.2,2.8,0.5,18.3,22.7,4.2,5.4,9.6,0.15,2.7,2.1,4.8,5.3,451.0,1097.0,0.411,69.0,232.0,0.297,382.0,865.0,0.442,0.443,328.0,403.0,0.8140000000000001,91.0,403.0,494.0,753.0,166.0,23.0,286.0,171.0,1299.0,1,3
